system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,sum,.geo
00000000000000000782,1454926615,16986823,20020,H1,067,00161559,222,A,01067,+31.5169779,-085.2399712,06,,G4020,Henry,Henry County,01,45786.57647058825,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000785,1453310172,4016457,37120,H1,045,00161548,222,A,01045,+31.4306536,-085.6094760,06,,G4020,Dale,Dale County,01,33073.23529411764,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000787,1758565487,3907876,21460,H1,031,00161541,222,A,01031,+31.4022580,-085.9896022,06,,G4020,Coffee,Coffee County,01,34708.72156862745,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000796,1487710770,11765077,20020,H1,061,00161556,222,A,01061,+31.0923933,-085.8210110,06,,G4020,Geneva,Geneva County,01,61986.40784313726,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000798,1501846955,4691549,20020,H1,069,00161560,222,A,01069,+31.1581928,-085.2963976,06,,G4020,Houston,Houston County,01,59018.639215686286,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a6a,2012664315,4121538,22840,H1,049,00161550,290,A,01049,+34.4609290,-085.8039920,06,,G4020,DeKalb,DeKalb County,01,51974.17647058824,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7c,2076157081,28765532,26620,H1,089,00161570,290,A,01089,+34.7642377,-086.5510802,06,,G4020,Madison,Madison County,01,127193.77647058826,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7d,1465524098,148503229,10700,H1,095,00161574,290,A,01095,+34.3095637,-086.3216681,06,,G4020,Marshall,Marshall County,01,32113.423529411764,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7e,1500534814,51006061,19460,H1,103,00161578,290,A,01103,+34.4544844,-086.8464021,06,,G4020,Morgan,Morgan County,01,25928.08235294117,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a81,1450236460,122371613,26620,H1,083,00161567,290,A,01083,+34.8102387,-086.9813995,06,,G4020,Limestone,Limestone County,01,83020.16078431373,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a82,1788846347,68687359,19460,H1,079,00161565,290,A,01079,+34.5297760,-087.3218651,06,,G4020,Lawrence,Lawrence County,01,107940.50196078431,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000792,4117584019,1133130502,19300,H1,003,00161527,380,A,01003,+30.6592183,-087.7460666,06,,G4020,Baldwin,Baldwin County,01,75386.26666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007a3,3184131335,1073840930,33660,H1,097,00161575,380,A,01097,+30.6845725,-088.1965682,06,,G4020,Mobile,Mobile County,01,46634.4431372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000078f,2447747107,20872955,12120,H1,053,00161552,426,A,01053,+31.1222867,-087.1684097,06,,G4020,Escambia,Escambia County,01,67243.98039215685,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ca,19019056192,275185416,21820,H1,090,01419969,,A,02090,+64.6923172,-146.6017326,04,,G4020,Fairbanks North Star,Fairbanks North Star Borough,02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003cc,63734270600,1682660537,11260,H1,170,01419976,,A,02170,+62.2790749,-149.6175617,04,,G4020,Matanuska-Susitna,Matanuska-Susitna Borough,02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ed,6998163331,1429463661,27940,H6,110,01419971,,C,02110,+58.3729099,-134.1784454,03,,G4020,Juneau,Juneau City and Borough,02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005f2,12583212278,4649427959,28540,H1,130,01419973,,A,02130,+55.4499378,-131.1066847,04,,G4020,Ketchikan Gateway,Ketchikan Gateway Borough,02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000065b,4420091935,663038187,11260,H6,020,01416061,,C,02020,+61.1742503,-149.2843294,12,,G4020,Anchorage,Anchorage Municipality,02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c0,15966175635,137024922,43420,H1,003,00025442,,A,04003,+31.8401287,-109.7751627,06,,G4020,Cochise,Cochise County,04,18654.945098039214,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c2,13897482645,22320992,38060,H1,021,00025447,,A,04021,+32.9190383,-111.3670054,06,,G4020,Pinal,Pinal County,04,200426.80000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c3,11972750122,47455350,40940,H1,009,00025444,,A,04009,+32.9318277,-109.8783103,06,,G4020,Graham,Graham County,04,35452.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000557,12323144911,97121333,37740,H1,007,00040471,,A,04007,+33.7896177,-110.8118696,06,,G4020,Gila,Gila County,04,11.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000558,25770094276,24078111,43320,H1,017,00042808,,A,04017,+35.3907852,-110.3210248,06,,G4020,Navajo,Navajo County,04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b6,48222118167,110085802,22380,H1,005,00025443,,A,04005,+35.8296919,-111.7737277,06,,G4020,Coconino,Coconino County,04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b7,21039796334,11501575,39140,H1,025,00042809,,A,04025,+34.6312117,-112.5773855,06,,G4020,Yavapai,Yavapai County,04,10.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006ba,14281265636,13171316,49740,H1,027,00023901,,A,04027,+32.7739424,-113.9109050,06,,G4020,Yuma,Yuma County,04,39085.07843137255,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006bb,23825796441,64389075,38060,H1,013,00037026,,A,04013,+33.3465408,-112.4955335,06,,G4020,Maricopa,Maricopa County,04,67024.52156862745,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b4,34475567011,387344307,29420,H1,015,00025445,332,A,04015,+35.7177050,-113.7496891,06,,G4020,Mohave,Mohave County,04,12044.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c1,3203613249,3088046,35700,H1,023,00040472,536,A,04023,+31.5257330,-110.8452278,06,,G4020,Santa Cruz,Santa Cruz County,04,68.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006bc,23794775138,5273054,46060,H1,019,00025446,536,A,04019,+32.1285226,-111.7830267,06,,G4020,Pima,Pima County,04,31719.65882352941,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,1801659698,82148488,25760,H1,107,00069172,,A,05107,+34.4236874,-090.8555931,06,,G4020,Phillips,Phillips County,05,269910.8941176471,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,1627973984,9926147,15780,H1,013,00063758,,A,05013,+33.5604604,-092.5138790,06,,G4020,Calhoun,Calhoun County,05,88.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,2691555117,41401587,20980,H1,139,00069903,,A,05139,+33.1682186,-092.5981447,06,,G4020,Union,Union County,05,198.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,1984105630,1774699,31620,H1,027,00063761,,A,05027,+33.2230377,-093.2328433,06,,G4020,Columbia,Columbia County,05,51.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,1897900176,18050428,15780,H1,103,00069170,,A,05103,+33.5911595,-092.8784155,06,,G4020,Ouachita,Ouachita County,05,80.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,2243121980,43395986,11660,H1,019,00066845,,A,05019,+34.0533162,-093.1762085,06,,G4020,Clark,Clark County,05,12728.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,1600189573,7257493,26260,H1,099,00069169,,A,05099,+33.6666991,-093.3050716,06,,G4020,Nevada,Nevada County,05,89.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,1884268834,35371745,26260,H1,057,00066858,,A,05057,+33.7286109,-093.6658093,06,,G4020,Hempstead,Hempstead County,05,1796.8862745098038,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,1620264344,31239262,45500,H1,091,00069166,,A,05091,+33.3055054,-093.9015018,06,,G4020,Miller,Miller County,05,72293.90980392156,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,1378537696,84199003,45500,H1,081,00066874,,A,05081,+33.6994970,-094.2297741,06,,G4020,Little River,Little River County,05,29517.8862745098,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d5,2126136208,5930334,25460,H1,101,00069900,,A,05101,+35.9107424,-093.2158985,06,,G4020,Newton,Newton County,05,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d6,2104507244,47189891,40780,H1,115,00069901,,A,05115,+35.4565570,-093.0268181,06,,G4020,Pope,Pope County,05,11588.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d7,2409250093,48279611,40780,H1,149,00069908,,A,05149,+34.9977133,-093.4083032,06,,G4020,Yell,Yell County,05,11812.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001de,1435588023,84022332,34260,H1,005,00069895,,A,05005,+36.2807100,-092.3304383,06,,G4020,Baxter,Baxter County,05,60.54117647058823,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e1,1528950330,30222243,25460,H1,009,00069897,,A,05009,+36.3043077,-093.0792041,06,,G4020,Boone,Boone County,05,218.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ef,1978630968,19594201,12900,H1,063,00069163,,A,05063,+35.7374992,-091.5599423,06,,G4020,Independence,Independence County,05,83888.50588235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ff,2332480068,49826367,14180,H1,093,00069899,,A,05093,+35.7669426,-090.0522086,06,,G4020,Mississippi,Mississippi County,05,434893.0392156863,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009ef,2439809347,26920590,22220,H1,143,00069905,,A,05143,+35.9712088,-094.2184168,06,,G4020,Washington,Washington County,05,67.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009f0,2194968309,94337637,22220,H1,007,00069896,,A,05007,+36.3378246,-094.2561871,06,,G4020,Benton,Benton County,05,3227.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009f2,2160705760,7320900,22220,H1,087,00069165,,A,05087,+36.0125452,-093.7240531,06,,G4020,Madison,Madison County,05,375.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009f4,1531142472,31122293,22900,H1,033,00069161,,A,05033,+35.5830407,-094.2362241,06,,G4020,Crawford,Crawford County,05,7095.349019607844,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009f5,1377602528,39692916,22900,H1,131,00069181,,A,05131,+35.1969808,-094.2749889,06,,G4020,Sebastian,Sebastian County,05,3011.737254901961,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,1593379454,18035696,31680,H1,059,00066859,284,A,05059,+34.3151767,-092.9441474,06,,G4020,Hot Spring,Hot Spring County,05,1946.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,1755530788,147143529,26300,H1,051,00066855,284,A,05051,+34.5788613,-093.1469148,06,,G4020,Garland,Garland County,05,85.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f5,1831846795,14089689,27860,H1,031,00066847,308,A,05031,+35.8277285,-090.6314213,06,,G4020,Craighead,Craighead County,05,474065.3372549021,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f6,1964145924,13522955,27860,H1,111,00069174,308,A,05111,+35.5688702,-090.6811037,06,,G4020,Poinsett,Poinsett County,05,678273.3725490198,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000201,1496205814,4789584,37500,H1,055,00066857,308,A,05055,+36.1206072,-090.5663459,06,,G4020,Greene,Greene County,05,285992.8196078433,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,1454438338,27514921,38220,H1,079,00066873,340,A,05079,+33.9576750,-091.7276258,06,,G4020,Lincoln,Lincoln County,05,191814.14117647067,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,2255220501,111446634,38220,H1,069,00066862,340,A,05069,+34.2776955,-091.9307012,06,,G4020,Jefferson,Jefferson County,05,369812.0431372548,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,1996699203,82668369,30780,H1,085,00069164,340,A,05085,+34.7551137,-091.8941320,06,,G4020,Lonoke,Lonoke County,05,426802.356862745,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,1548252554,2500346,38220,H1,025,00063760,340,A,05025,+33.8932006,-092.1887141,06,,G4020,Cleveland,Cleveland County,05,328.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,1964693964,127125478,30780,H1,119,00069177,340,A,05119,+34.7703106,-092.3129960,06,,G4020,Pulaski,Pulaski County,05,57760.8392156863,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,1636383570,2897719,30780,H1,053,00066856,340,A,05053,+34.2855683,-092.4229794,06,,G4020,Grant,Grant County,05,1195.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,1874030024,17928133,30780,H1,125,00067102,340,A,05125,+34.6485246,-092.6744630,06,,G4020,Saline,Saline County,05,282.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d8,1428539951,23229535,30780,H1,105,00069171,340,A,05105,+34.9463629,-092.9268773,06,,G4020,Perry,Perry County,05,5314.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001da,1678085355,41857091,30780,H1,045,00066852,340,A,05045,+35.1462865,-092.3247110,06,,G4020,Faulkner,Faulkner County,05,10685.98431372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f2,2680890163,18254982,42620,H1,145,00069906,340,A,05145,+35.2551175,-091.7530339,06,,G4020,White,White County,05,103776.66666666669,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f8,1644111365,20049932,22620,H1,123,00083331,368,A,05123,+35.0140258,-090.7421378,06,,G4020,St. Francis,St. Francis County,05,306173.87843137264,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fa,1580746758,67440988,32820,H1,035,00069162,368,A,05035,+35.2118784,-090.3153314,06,,G4020,Crittenden,Crittenden County,05,226463.55686274517,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000064e,11761603010,463438616,45000,H1,035,01693324,,A,06035,+40.7210862,-120.6299518,06,,G4020,Lassen,Lassen County,06,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000652,2606100217,578760364,18860,H1,015,01682074,,A,06015,+41.7499033,-123.9809983,06,,G4020,Del Norte,Del Norte County,06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000653,9240992572,1254297982,21700,H1,023,01681908,,A,06023,+40.7066731,-123.9258181,06,,G4020,Humboldt,Humboldt County,06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000654,9081421729,962951511,46380,H1,045,00277287,,A,06045,+39.4323876,-123.4428811,06,,G4020,Mendocino,Mendocino County,06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000670,3254288286,188912510,17340,H1,033,00277281,,A,06033,+39.0948019,-122.7467569,06,,G4020,Lake,Lake County,06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000672,4238423343,105325812,17020,H1,007,01675842,,A,06007,+39.6659588,-121.6019188,06,,G4020,Butte,Butte County,06,454.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000067e,8496669426,1270747469,41500,H1,053,00277291,,A,06053,+36.2401070,-121.3155723,06,,G4020,Monterey,Monterey County,06,201.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000687,5752184086,138627184,43760,H1,109,00277319,,A,06109,+38.0214344,-119.9647335,06,,G4020,Tuolumne,Tuolumne County,06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000068b,8548640337,815490673,42020,H1,079,00277304,,A,06079,+35.3852242,-120.4475445,06,,G4020,San Luis Obispo,San Luis Obispo County,06,349.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006ad,21061589620,79574760,12540,H1,029,02054176,,A,06029,+35.3466288,-118.7295064,06,,G4020,Kern,Kern County,06,73893.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b8,10817291640,790230304,20940,H1,025,00277277,,A,06025,+33.0408143,-115.3554001,06,,G4020,Imperial,Imperial County,06,8314.164705882353,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006bd,10895149811,826195031,41740,H1,073,00277301,,A,06073,+33.0236041,-116.7761174,06,,G4020,San Diego,San Diego County,06,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006be,7084000598,2729814515,42200,H1,083,00277306,,A,06083,+34.5370572,-120.0399729,06,,G4020,Santa Barbara,Santa Barbara County,06,640.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000068a,15433177265,135374444,23420,H1,019,00277274,260,A,06019,+36.7610058,-119.6550193,06,,G4020,Fresno,Fresno County,06,208545.3294117647,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000068d,5535098260,41957139,31460,H1,039,00277284,260,A,06039,+37.2098213,-119.7498023,06,,G4020,Madera,Madera County,06,3323.6117647058823,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006ae,51948120575,123845026,40140,H1,071,00277300,348,A,06071,+34.8572198,-116.1811967,06,,G4020,San Bernardino,San Bernardino County,06,19.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006af,10510651024,1794730436,31080,H1,037,00277283,348,A,06037,+34.1963983,-118.2618616,06,31084,G4020,Los Angeles,Los Angeles County,06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b0,4773390489,945942791,37100,H1,111,00277320,348,A,06111,+34.3587415,-119.1331432,06,,G4020,Ventura,Ventura County,06,12.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b1,2047702298,407606601,31080,H1,059,00277294,348,A,06059,+33.6756872,-117.7772068,06,11244,G4020,Orange,Orange County,06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b2,18664206749,250926952,40140,H1,065,00277297,348,A,06065,+33.7298275,-116.0022389,06,,G4020,Riverside,Riverside County,06,7106.129411764706,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000684,3874642752,46376455,33700,H1,099,00277314,382,A,06099,+37.5623162,-121.0028311,06,,G4020,Stanislaus,Stanislaus County,06,1749.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000688,5012175306,112509475,32900,H1,047,00277288,382,A,06047,+37.1948063,-120.7228019,06,,G4020,Merced,Merced County,06,120101.1294117647,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000064f,9778179454,186530168,39820,H1,089,01682610,454,A,06089,+40.7605142,-122.0435556,06,,G4020,Shasta,Shasta County,06,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000650,7639720404,32276063,39780,H1,103,01692767,454,A,06103,+40.1261561,-122.2322757,06,,G4020,Tehama,Tehama County,06,262.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000674,1560255999,15724974,49700,H1,101,00277315,472,A,06101,+39.0361898,-121.7039397,06,,G4020,Sutter,Sutter County,06,3973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000675,1636971148,31000614,49700,H1,115,00277322,472,A,06115,+39.2662469,-121.3407809,06,,G4020,Yuba,Yuba County,06,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000678,2628256658,22688574,40900,H1,113,00277321,472,A,06113,+38.6795954,-121.9024412,06,,G4020,Yolo,Yolo County,06,1377.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000679,2499183617,76073827,40900,H1,067,00277298,472,A,06067,+38.4500114,-121.3404409,06,,G4020,Sacramento,Sacramento County,06,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069a,2480606160,41513172,46020,H1,057,01682927,472,A,06057,+39.2975082,-120.7713429,06,,G4020,Nevada,Nevada County,06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069b,3644333049,246486852,40900,H1,061,00277295,472,A,06061,+39.0620323,-120.7227181,06,,G4020,Placer,Placer County,06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069c,4423349463,203269403,40900,H1,017,00277273,472,A,06017,+38.7855320,-120.5343981,06,,G4020,El Dorado,El Dorado County,06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066f,4081437574,497508807,42220,H1,097,01657246,488,A,06097,+38.5251824,-122.9261095,06,,G4020,Sonoma,Sonoma County,06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000676,1348061297,796944835,41860,H1,041,00277285,488,A,06041,+38.0518169,-122.7459738,06,42034,G4020,Marin,Marin County,06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
